file_name,text
/Libri_data/train_data_360/6119/48032/6119-48032-0001.wav,MUSINGS ON ANTIQUITY I FORGET THAT I AM STEERING INTERESTING RESULT HAMPTON COURT MAZE HARRIS AS A GUIDE IT WAS A GLORIOUS MORNING
/Libri_data/train_data_360/6119/48032/6119-48032-0003.wav,TREMBLING WITH STRANGE WAKENING PULSES ON THE BRINK OF WOMANHOOD THE QUAINT BACK STREETS OF KINGSTON
/Libri_data/train_data_360/6119/48032/6119-48032-0006.wav,I FELT MYSELF BEING DREAMILY LULLED OFF INTO A MUSING FIT I MUSED ON KINGSTON OR KYNINGESTUN
/Libri_data/train_data_360/6119/48032/6119-48032-0008.wav,SHE WAS NUTS ON PUBLIC HOUSES WAS ENGLAND'S VIRGIN QUEEN THERE'S SCARCELY A PUB OF ANY ATTRACTIONS WITHIN TEN MILES OF LONDON
/Libri_data/train_data_360/6119/48032/6119-48032-0010.wav,ONLY HOUSE IN SOUTH LONDON THAT HARRIS NEVER HAD A DRINK IN THE PEOPLE WOULD FLOCK TO IT TO SEE WHAT COULD HAVE BEEN THE MATTER WITH IT
/Libri_data/train_data_360/6119/48032/6119-48032-0012.wav,ELGIVA PERHAPS FROM THE CASEMENT STANDING HAND IN HAND THEY WERE WATCHING THE CALM MOONLIGHT ON THE RIVER
/Libri_data/train_data_360/6119/48032/6119-48032-0014.wav,BACK TO THE LOUD CLAMOUR OF THE DRUNKEN BRAWL YEARS LATER TO THE CRASH OF BATTLE MUSIC SAXON KINGS AND SAXON REVELRY WERE BURIED SIDE BY SIDE
/Libri_data/train_data_360/6119/48032/6119-48032-0016.wav,AND BRIGHT CLOAKED GALLANTS SWAGGERED DOWN THE WATER STEPS TO CRY WHAT FERRY HO GADZOOKS GRAMERCY
/Libri_data/train_data_360/6119/48032/6119-48032-0017.wav,AND NOBLES AND COURTIERS LIVED THERE NEAR THEIR KING
/Libri_data/train_data_360/6119/48032/6119-48032-0020.wav,THE HARD RED BRICKS HAVE ONLY GROWN MORE FIRMLY SET WITH TIME AND THEIR OAK STAIRS DO NOT CREAK AND GRUNT
/Libri_data/train_data_360/6119/48032/6119-48032-0024.wav,AND UP THE STAIRCASE OF THE HOUSE
/Libri_data/train_data_360/6119/48032/6119-48032-0027.wav,OAK HE EXPLAINED ALL CARVED OAK RIGHT UP TO THE CEILING JUST THE SAME AS YOU SAW ON THE STAIRCASE BUT GREAT CAESAR MAN EXPOSTULATED MY FRIEND
/Libri_data/train_data_360/6119/48032/6119-48032-0028.wav,YOU DON'T MEAN TO SAY YOU HAVE COVERED OVER CARVED OAK WITH BLUE WALL PAPER YES WAS THE REPLY IT WAS EXPENSIVE WORK
/Libri_data/train_data_360/6119/48032/6119-48032-0029.wav,IT WAS AWFUL GLOOMY BEFORE
/Libri_data/train_data_360/6119/48032/6119-48032-0031.wav,THERE IS REASON ON HIS SIDE CARVED OAK IS VERY PLEASANT TO LOOK AT AND TO HAVE A LITTLE OF
/Libri_data/train_data_360/6119/48032/6119-48032-0032.wav,FOR THOSE WHOSE FANCY DOES NOT LIE THAT WAY IT WOULD BE LIKE LIVING IN A CHURCH NO WHAT WAS SAD IN HIS CASE WAS THAT HE WHO DIDN'T CARE FOR CARVED OAK
/Libri_data/train_data_360/6119/48032/6119-48032-0033.wav,WHILE PEOPLE WHO DO CARE FOR IT HAVE TO PAY ENORMOUS PRICES TO GET IT IT SEEMS TO BE THE RULE OF THIS WORLD
/Libri_data/train_data_360/6119/48032/6119-48032-0034.wav,AND OTHER PEOPLE HAVE WHAT HE DOES WANT
/Libri_data/train_data_360/6119/48032/6119-48032-0036.wav,THE GIRLS THAT HAVE LOVERS NEVER WANT THEM
/Libri_data/train_data_360/6119/48032/6119-48032-0038.wav,WE USED TO CALL HIM SANDFORD AND MERTON HIS REAL NAME WAS STIVVINGS
/Libri_data/train_data_360/6119/48032/6119-48032-0039.wav,USED TO GET INTO AWFUL ROWS FOR SITTING UP IN BED AND READING GREEK AND AS FOR FRENCH IRREGULAR VERBS THERE WAS SIMPLY NO KEEPING HIM AWAY FROM THEM
/Libri_data/train_data_360/6119/48032/6119-48032-0040.wav,UNNATURAL NOTIONS ABOUT
/Libri_data/train_data_360/6119/48032/6119-48032-0044.wav,AND GAVE HIM A FALSE SET BECAUSE HE SUFFERED SO TERRIBLY WITH TOOTHACHE AND THEN IT TURNED TO NEURALGIA AND EAR ACHE HE WAS NEVER WITHOUT A COLD
/Libri_data/train_data_360/6119/48032/6119-48032-0045.wav,AND HE ALWAYS HAD CHILBLAINS DURING THE GREAT CHOLERA SCARE OF EIGHTEEN SEVENTY ONE
/Libri_data/train_data_360/6119/48032/6119-48032-0046.wav,THERE WAS ONLY ONE REPUTED CASE IN THE WHOLE PARISH THAT CASE WAS YOUNG STIVVINGS HE HAD TO STOP IN BED WHEN HE WAS ILL
/Libri_data/train_data_360/6119/48032/6119-48032-0050.wav,TO GO BACK TO THE CARVED OAK QUESTION
/Libri_data/train_data_360/6119/48032/6119-48032-0051.wav,WHY ALL OUR ART TREASURES OF TO DAY ARE ONLY THE DUG UP COMMONPLACES OF THREE OR FOUR HUNDRED YEARS AGO
/Libri_data/train_data_360/6119/48032/6119-48032-0055.wav,WILL ROWS OF OUR WILLOW PATTERN DINNER PLATES BE RANGED ABOVE THE CHIMNEYPIECES OF THE GREAT IN THE YEARS TWO THOUSAND AND ODD
/Libri_data/train_data_360/6119/48032/6119-48032-0056.wav,SPECIES UNKNOWN THAT OUR SARAH JANES NOW BREAK IN SHEER LIGHT HEARTEDNESS OF SPIRIT BE CAREFULLY MENDED AND STOOD UPON A BRACKET
/Libri_data/train_data_360/6119/48032/6119-48032-0060.wav,AND WILL BE SOLD FOR OLD CHINA AND PUT IN A GLASS CABINET
/Libri_data/train_data_360/6119/48032/6119-48032-0061.wav,THE BIT OF THE TAIL THAT IS LOST NO DOUBT WAS WE IN THIS AGE
/Libri_data/train_data_360/6119/48032/6119-48032-0064.wav,SAMPLER THAT THE ELDEST DAUGHTER DID AT SCHOOL WILL BE SPOKEN OF AS TAPESTRY OF THE VICTORIAN ERA AND BE ALMOST PRICELESS
/Libri_data/train_data_360/6119/48032/6119-48032-0066.wav,PRESENTS FROM RAMSGATE AND SOUVENIRS OF MARGATE THAT MAY HAVE ESCAPED DESTRUCTION AND TAKE THEM BACK TO JEDO AS ANCIENT ENGLISH CURIOS AT THIS POINT
/Libri_data/train_data_360/6119/48032/6119-48032-0067.wav,GOT UP AND LEFT HIS SEAT AND SAT ON HIS BACK AND STUCK HIS LEGS IN THE AIR
/Libri_data/train_data_360/6119/48032/6119-48032-0068.wav,AND ALL THE THINGS CAME OUT I WAS SOMEWHAT SURPRISED
/Libri_data/train_data_360/6119/48032/6119-48032-0069.wav,I SAID PLEASANTLY ENOUGH HULLOA WHAT'S THAT FOR WHAT'S THAT FOR WHY NO ON SECOND THOUGHTS
/Libri_data/train_data_360/6119/48032/6119-48032-0072.wav,I NEVER PASS IT WITHOUT FEELING BETTER FOR THE SIGHT OF IT SUCH A MELLOW BRIGHT SWEET OLD WALL WHAT A CHARMING PICTURE IT WOULD MAKE
/Libri_data/train_data_360/6119/48032/6119-48032-0079.wav,AND LONG FOR THE GAS LIT STREETS AND THE SOUND OF HUMAN VOICES
/Libri_data/train_data_360/6119/48032/6119-48032-0081.wav,SO THAT YOU CAN SAY YOU'VE BEEN BUT IT'S VERY SIMPLE IT'S ABSURD TO CALL IT A MAZE YOU KEEP ON TAKING THE FIRST TURNING TO THE RIGHT
/Libri_data/train_data_360/6119/48032/6119-48032-0082.wav,THEY MET SOME PEOPLE SOON AFTER THEY HAD GOT INSIDE
/Libri_data/train_data_360/6119/48032/6119-48032-0083.wav,THEY PICKED UP VARIOUS OTHER PEOPLE WHO WANTED TO GET IT OVER AS THEY WENT ALONG UNTIL THEY HAD ABSORBED ALL THE PERSONS IN THE MAZE
/Libri_data/train_data_360/6119/48032/6119-48032-0088.wav,AND EXPRESSED AN OPINION THAT HE WAS AN IMPOSTOR THAT MADE HARRIS MAD
/Libri_data/train_data_360/6119/48032/6119-48032-0089.wav,THE MAP MAY BE ALL RIGHT ENOUGH SAID ONE OF THE PARTY IF YOU KNOW WHEREABOUTS IN IT WE ARE NOW HARRIS DIDN'T KNOW
/Libri_data/train_data_360/6119/48032/6119-48032-0092.wav,WHATEVER WAY THEY TURNED BROUGHT THEM BACK TO THE MIDDLE IT BECAME SO REGULAR AT LENGTH
/Libri_data/train_data_360/3584/74477/3584-74477-0030.wav,DOLLY WARE WE SHALL CERTAINLY BE DROWNED SHE MADE A VAIN CLUTCH AT DOLLY AND WITH A WILD SCREAM WENT DOWN AND DISAPPEARED DOLLY DIVED AFTER HER
/Libri_data/train_data_360/3584/74477/3584-74477-0047.wav,ARE YOU PROUD OF ME DEMANDED DOLLY YES I AM PROUD OF YOU THIS CAPPED THE CLIMAX OF DOLLY'S CONTENTMENT
/Libri_data/train_data_360/3584/178748/3584-178748-0011.wav,I HOPE THEY WON'T CURE ME I VOW I WON'T BE CURED
/Libri_data/train_data_360/3584/178748/3584-178748-0031.wav,HIS LIFE IS FORFEIT BY A HUNDRED CRIMES HE IS AN OUTLAW AND A HEAVY PRICE IS SET UPON HIS HEAD
/Libri_data/train_data_360/8573/286306/8573-286306-0003.wav,HE EXCLAIMED NOW IS THE TIME
/Libri_data/train_data_360/8573/286306/8573-286306-0004.wav,CLIMBED OUT OF THE HOWDAH AND SLIPPED DOWN BY THE ELEPHANT'S TAIL THE USUAL PLAN FOR DISMOUNTING WHEN AN ELEPHANT IS ON ITS FEET
/Libri_data/train_data_360/8573/286306/8573-286306-0005.wav,LEAPED INTO A GARDEN AND HID HIMSELF AMONG SOME BUSHES THE MAHOUT NOW TURNED THE ELEPHANT AND
/Libri_data/train_data_360/8573/286306/8573-286306-0007.wav,THEY TURNED OFF TOGETHER FROM THE MAIN ROAD
/Libri_data/train_data_360/8573/286306/8573-286306-0010.wav,NESSUS AND THE ARAB AT ONCE RETURNED TO THE CITADEL IT WAS AGREED THAT THE FORMER HAD BETTER CONTINUE HIS WORK AS USUAL UNTIL THE EVENING
/Libri_data/train_data_360/8573/286306/8573-286306-0012.wav,AND THE TWO AT ONCE SET OUT FOR HIS HOUSE
/Libri_data/train_data_360/8573/286306/8573-286306-0023.wav,IN THE MEANTIME YOU MUST FOR A SHORT TIME REMAIN IN CONCEALMENT WHILE I ARRANGE FOR A SHIP TO CARRY YOU BACK TO ITALY
/Libri_data/train_data_360/8573/286306/8573-286306-0030.wav,I WILL BE NO SHARER IN THE FATE OF CARTHAGE I HAVE DONE WITH HER AND IF I DO NOT FALL IN THE BATTLEFIELD I WILL
/Libri_data/train_data_360/8573/286306/8573-286306-0034.wav,AND I DOUBT NOT THAT HE HAS HIS SPIES AMONG MY SLAVES AND SERVANTS
/Libri_data/train_data_360/8573/286306/8573-286306-0035.wav,LET YOUR FOLLOWER COME NIGHTLY TO ME FOR INSTRUCTIONS
